Owner,Contact,Where I Live,Investor Name,Firm,Year Joined Firm,Current Fund Size,Current Fund Vintage,Company Stage,Where I Invest,Typical Check Size,Sectors I Focus On,Select Past Investments,Probably Wouldn't Invest,Notes
,,,Rachel Haot,1776,2016,$12.5M,2014,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global",$0-$250K,"AI / ML, Bitcoin / Blockchain, Clean-Tech / Energy, Ed-Tech, Enterprise / SaaS, Fin-Tech, Health-Tech, Marketplaces, Real Estate, Robotics / Drones, Security, Transportation, VR / AR",Twiga Foods,"adtech, media",Specialize in heavily regulated industries--but not govtech to be clear
,,,Alex Zubillaga,14W,2010,N/A,N/A,"Series A, Series B, Growth","NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global","$1-$3M, $3-$10M, $10M+","Consumer, E-Commerce, Entertainment / Gaming / Sports, Fin-Tech, Marketplaces, Media / Publishing, Mobile","Letgo, Everlane, Outdoor Voices, Reformation, Glossier, Raden, Wallapop, Treatwell, ","Enterprise, Biotech",
JB,,NYC,Nnamdi Okike,645 Ventures,2013,$25M,2014,"Seed, Series A","NYC, SFBA","$0-$250K, $250-$500K","Data / Analytics, Developer Tools, Enterprise / SaaS, Fin-Tech, Infrastructure, VR / AR","Goldbely, Iterable, LeagueApps, ALICE, Rifiniti, MMLaFleur","We don't typically invest pre-launch; we also focus exclusively on software, software-enabled, and Internet companies",
JB,,NYC,Aaron Holiday,645 Ventures,2014,$25M,2014,"Seed, Series A","NYC, SFBA","$0-$250K, $250-$500K","Data / Analytics, Developer Tools, Enterprise / SaaS, Fin-Tech, Infrastructure, VR / AR","Fly Labs, Nanit, Fiscal Note, Goldbely, Source3, MergeVR, Iterable",,
MP,,NYC,Jason Ostheimer,Advancit Capital,2011,$40M,2016,"Seed,Series A","NYC, SFBA, US, Global",$500K-$1M,"Entertainment / Gaming / Sports, Media / Publishing",,,
MP,,NYC,Jonathan Miller,Advancit Capital,,$40M,2016,"Seed,Series A","NYC, SFBA, US, Global",$500K-$1M,"Entertainment / Gaming / Sports, Media / Publishing",,,
MP,,NYC,Shari Redstone,Advancit Capital,2011,$40M,2016,"Seed,Series A","NYC, SFBA, US, Global",$500K-$1M,"Entertainment / Gaming / Sports, Media / Publishing",,,
MP,,NYC,Steve Brotman,Alpha Ventures Partners,2014,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response
MP,,NYC,Claudia Iannazzo,AlphaPrime Ventures,2016,n/a,n/a,"Seed, Series A",US,"$0-$250K, $250-$500K, $500K-$1M, $3M-$10M",Security,"Socure, Canary",,
MP,,NYC,Alessandro Piol,AlphaPrime Ventures,2013,n/a,n/a,"Seed, Series A",US,"$0-$250K, $250-$500K, $500K-$1M,$3M-$10M",Security,"Socure, Canary",,
,,SFBA,Rohit Bodas,American Express Ventures,2011,balance sheet,n/a,"Series A, Series B, Growth","NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global","$1-$3M,
$3-$10M","AI / ML, Bitcoin / Blockchain, Consumer, Data / Analytics, E-Commerce, Enterprise / SaaS, Fin-Tech, Marketing, Marketplaces, Mobile, Social / Messaging, Security",,,"As the strategic investment group within American Express, we seek to invest in innovative startups in order to enhance our company's core capabilities and accelerate our efforts in consumer commerce and B2B services. Across the globe, we strive to foster meaningful relationships with startups in our portfolio and beyond."
,,SFBA,Harshul Sanghi,American Express Ventures,2011,balance sheet,n/a,"Series A, Series B, Growth","NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global","$1-$3M,
$3-$10M","AI / ML, Bitcoin / Blockchain, Consumer, Data / Analytics, E-Commerce, Enterprise / SaaS, Fin-Tech, Marketing, Marketplaces, Mobile, Social / Messaging, Security",,,"As the strategic investment group within American Express, we seek to invest in innovative startups in order to enhance our company's core capabilities and accelerate our efforts in consumer commerce and B2B services. Across the globe, we strive to foster meaningful relationships with startups in our portfolio and beyond."
,,NYC,Rohit Bodas,American Express Ventures,2011,balance sheet,n/a,"Series A, Series B, Growth","NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global","$1-$3M, $3-$10M","AI / ML, Bitcoin / Blockchain, Consumer, Data / Analytics, E-Commerce, Enterprise / SaaS, Fin-Tech, Marketing, Marketplaces, Mobile, Social / Messaging, Security",,,"As the strategic investment group within American Express, we seek to invest in innovative startups in order to enhance our company's core capabilities and accelerate our efforts in consumer commerce and B2B services. Across the globe, we strive to foster meaningful relationships with startups in our portfolio and beyond."
,,NYC,Harshul Sanghi,American Express Ventures,2011,balance sheet,n/a,"Series A, Series B, Growth","NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global","$1-$3M, $3-$10M","AI / ML, Bitcoin / Blockchain, Consumer, Data / Analytics, E-Commerce, Enterprise / SaaS, Entertainment / Gaming / Sports, Fin-Tech, Marketing, Marketplaces, Mobile, Social / Messaging, Security",,,"As the strategic investment group within American Express, we seek to invest in innovative startups in order to enhance our company's core capabilities and accelerate our efforts in consumer commerce and B2B services. Across the globe, we strive to foster meaningful relationships with startups in our portfolio and beyond."
,,,Adam Besvinick,Anchorage Capital,2017,$200M+,2015,"Series A, Series B, Growth","NYC, SFBA, LA, US, Canada, Europe","$3-$10M, $10M+","AI / ML, Cloud, Consumer, Data / Analytics, E-Commerce, Enterprise / SaaS, Entertainment / Gaming / Sports, Marketing, Marketplaces, Media / Publishing, Mobile, Social / Messaging, VR / AR",,,
JB,,SFBA,Brad Kern,Andreessen Horowitz,2015,need to reach out,need to reach out,need to reach out,need to reach out,need to reach out,need to reach out,need to reach out,need to reach out,need to reach out
MP,,NYC,Steve Berg,Antecedent Ventures,2014,-,-,Seed    ,"NYC, SFBA",$0-$250K,"Cloud, Data / Analytics, Enterprise / SaaS, Fin-Tech, Security",Integris Software,,$150K checks
MP,,NYC,Vinay Singh,Archer Gray,2015,N/A,N/A,"Seed, Series A","NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global",$0-$250K,"Entertainment / Gaming / Sports, Media / Publishing, VR / AR","Littlstar, ShareGrid, Vigour, TheTake","Ad-tech, Social media, Content",
,,,Gary Lubin,Autonomy Ventures,2017,$50M,2017,"Seed, Series A","NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global","$0-$250K, $250-$500K, $500K-$1M, $1-$3M","AI / ML, Bots, Clean-Tech / Energy, Data / Analytics, Hardware / IoT, Health-Tech, Infrastructure, Robotics / Drones, Transportation, Wearables",,,
,,,Oliver Mitchell,Autonomy Ventures,2016,$50M,2016,"Seed, Series A","NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global","$0-$250K, $250-$500K","AI / ML, Cloud, Hardware / IoT, Health-Tech, Robotics / Drones, Security","Carbon Robotics, Aurora Labs ","Consumer, Chemical, Military, Invasive Medical ","We invest in enabling technologies around robotics, mobility and ai"
MP,,NYC,Matt Harris,Bain Capital Ventures,2012,$600M,2016,Series A,NYC,$3-$10M,Fin-Tech,"DCG, OpenFin, SigFig, Jet",,
MP,,NYC,Scott Friend,Bain Capital Ventures,2006,$600M,2016,Series A,"NYC, US",$3-$10M,"Consumer, Data / Analytics, E-Commerce","Rent the Runway, Semantic Machines",,"our PE group owns a lot of companies that could be customers (e.g., Jymboree)"
CN,,NYC,Susan Lyne,BBG Ventures,2014,$50M,2014,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US","$0-$250K, $250-$500K, $500K-$1M","AI / ML, Bitcoin / Blockchain, Bots, Clean-Tech / Energy, Cloud, Consumer, Data / Analytics, Developer Tools, E-Commerce, Ed-Tech, Enterprise / SaaS, Entertainment / Gaming / Sports, Fin-Tech, Hardware / IoT, Health-Tech, HR, Infrastructure, Marketing, Marketplaces, Media / Publishing, Mobile, Real Estate, Robotics / Drones, Social / Messaging, Transportation, VR / AR, Wearables","GLAMSQUAD, goTenna,  HopSkipDrive, Modsy, Zola, Rocksbox, Pymetrics, Ringly, Uncharted Play, LOLA",We only invest in companies with at least one female founder.,"Our focus is consumer internet and consumer tech companies with at least one female founder. We look for companies with a technology advantage and like to see a working product, even if it's in closed beta."
CN,,NYC,Nishua Dua,BBG Ventures,2014,$50M,2014,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US","$0-$250K, $250-$500K, $500K-$1M","AI / ML, Bitcoin / Blockchain, Bots, Clean-Tech / Energy, Cloud, Consumer, Data / Analytics, Developer Tools, E-Commerce, Ed-Tech, Enterprise / SaaS, Entertainment / Gaming / Sports, Fin-Tech, Hardware / IoT, Health-Tech, HR, Infrastructure, Marketing, Marketplaces, Media / Publishing, Mobile, Real Estate, Robotics / Drones, Social / Messaging, Transportation, VR / AR, Wearables","GLAMSQUAD, goTenna,  HopSkipDrive, Modsy, Zola, Rocksbox, Pymetrics, Ringly, Uncharted Play, LOLA",We only invest in companies with at least one female founder.,"Our focus is consumer internet and consumer tech companies with at least one female founder. We look for companies with a technology advantage and like to see a working product, even if it's in closed beta."
CN,,NYC,Keith Titan,BDMI,2006,$150M,2015,"Seed, Series A","US, Europe, Israel","$100-$250K (seed), $500K-$5M (main fund)","Ad-Tech, E-Commerce, Enterprise / SaaSMedia / Publishing","FloSports, VHX, The Athletic","Gaming, Apps, Hardware, Medical, Chemical, Energy",
CN,,NYC,Sim Blaustein,BDMI,2012,$150M,2015,"Seed, Series A","US, Europe, Israel","$100-$250K (seed), $500K-$5M (main fund)","Ad-Tech, E-Commerce, Enterprise / SaaSMedia / Publishing","Food52, 8i, Clique Media Group, Vemba, Omnivert, Jukin","Gaming, Apps, Hardware, Medical, Chemical, Energy",
CN,,NYC,Urs Cete,BDMI,2006,$150M,2015,"Seed, Series A","US, Europe, Israel","$100-$250K (seed), $500K-$5M (main fund)","Ad-Tech, E-Commerce, Enterprise / SaaSMedia / Publishing","Nativo, Skimlinks, Zergnet, Spectrm","Gaming, Apps, Hardware, Medical, Chemical, Energy",
DK,,NYC,Alex Ferrara,Bessemer Venture Partners,2013,$1.6B,2015,"Series A, Series B, Growth","US, Global","$1-$3M, $3-$10M","Clean-Tech / Energy, Cloud, E-Commerce, Fin-Tech, Health-Tech, Infrastructure, Mobile, Security",,,
DK,,NYC,Bob Goodman,Bessemer Venture Partners,1998,$1.6B,2015,"Series A, Series B, Growth","US, Global","$1-$3M, $3-$10M","Clean-Tech / Energy, Cloud, E-Commerce, Fin-Tech, Health-Tech, Infrastructure, Mobile, Security",,,
DK,,NYC,Jeremy Levine,Bessemer Venture Partners,2001,$1.6B,2015,"Series A, Series B, Growth","US, Global","$1-$3M, $3-$10M","Clean-Tech / Energy, Cloud, E-Commerce, Fin-Tech, Health-Tech, Infrastructure, Mobile, Security",,,
DK,,NYC,Rob Stavis,Bessemer Venture Partners,2000,$1.6B,2015,"Series A, Series B, Growth","US, Global","$1-$3M, $3-$10M","Clean-Tech / Energy, Cloud, E-Commerce, Fin-Tech, Health-Tech, Infrastructure, Mobile, Security",,,
MP,,NYC,Matt Hartman,betaworks,2014,n/a,n/a,Seed,"NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global","$0-$250K, $250-$500K","AI / ML, Bots, Consumer, Social / Messaging, VR / AR","Medium, Product Hunt, Giphy, Statsbot, Kickstarter, Tumblr, GroupMe, Venmo, Twitter","tech enabled e-commerce, long-term hardware products (vs. hardware intended to be commoditized where the software is the long-term advantage)",
MP,,NYC,Karin Klein,Bloomberg Beta,2013,$75M,2016,"Pre-Seed, Seed","NYC, US","$0-$250K, $250-$500K, $500K-$1M","Ed-Tech, HR, Security","Pathgather, Bonusly, Flashpoint, Virgil, Authorea","Social, Gaming, Entertainment",
MP,,NYC,Morgan Polotan,Bloomberg Beta,2016,$75M,2016,"Pre-Seed, Seed","NYC, US","$0-$250K, $250-$500K, $500K-$1M","Developer Tools, Ed-Tech, HR","Virgil, Authorea","Social, Gaming, Entertainment",
,,,JJ Kasper,Blue {Seed} Collective,2014,$10M,2015,"Pre-Seed, Seed","NYC, SFBA, LA, US",$250-$500K,"Ad-Tech, AI / ML, Bio-Tech, Bitcoin / Blockchain, Bots, Clean-Tech / Energy, Cloud, Consumer, Data / Analytics, Developer Tools, E-Commerce, Ed-Tech, Enterprise / SaaS, Entertainment / Gaming / Sports, Fin-Tech, Hardware / IoT, Health-Tech, HR, Infrastructure, Marketing, Marketplaces, Media / Publishing, Mobile, Pharma / Life Sciences, Real Estate, Robotics / Drones, Security, Transportation, VR / AR, Wearables, Food & Beverage",SketchDeck; GuardHat; PulseData; Tecovas; Sir Kensington's; Headspin; Appurify,,"We are as industry-agnostic as an investor can be. We want to talk to great entrepreneurs building big ideas. We look for great founders who are empathetic, intellectually adventurous, and share our values. And while we don't need you to be building a unicorn, we do want to see that your business has the potential to be bigger than a breadbasket in 5-10 years($200+ mil EV). Look forward to chatting with you"
MP,,SFBA,Bruce Taragin,Blumberg Capital,1998,$177M,2016,,,,,,,
DK,,NYC,Ed Sim,BOLDstart Ventures,2010,$21M,2016,Seed,US,"$0-$250K, $250-$500K","Cloud, Data / Analytics, Infrastructure, Mobile, Social",,,
DK,,NYC,Eliot Durbin,BOLDstart Ventures,2010,$21M,2016,Seed,US,"$0-$250K, $250-$500K","Cloud, Data / Analytics, Infrastructure, Mobile, Social",,,
MP,,NYC,Mike Brown Jr,Bowery Capital,2013,$60M,2016,Seed,US  ,"$500K-$1M, $1-$3M","Enterprise / SaaS, Hardware / IoT, Marketplaces","Sailthru, mParticle, ActionIQ","Consumer, Ad-Tech, Services",
MP,,NYC,Nic Poulos,Bowery Capital,2013,$60M,2016,Seed,US  ,"$500K-$1M, $1-$3M","Enterprise / SaaS, Hardware / IoT, Marketplaces","Msg.ai, Transfix, TrackMaven","Consumer, Ad-Tech, Services",
,,,Loren Vittetoe,Bowery Capital,2016,$60M,2016,Seed,US,"$500K-$1M, $1-$3M","Enterprise / SaaS, Hardware / IoT, Marketplaces",Block Six Analytics,"Consumer, Ad-Tech, Services",
JB,,NYC,Adam Rothenberg,BoxGroup,2011,n/a,n/a,"Pre-Seed, Seed","NYC, SFBA, LA, US, Canada, Israel","$0-$250K, $250-$500K",All,,"Ad-Tech, Marketing-Tech ",
JB,,NYC,David Tisch,BoxGroup,2007,n/a,n/a,"Pre-Seed, Seed","NYC, SFBA, LA, US, Canada, Israel","$0-$250K, $250-$500K",All,,"Ad-Tech, Marketing-Tech ",
,,,Kal Vepuri,Brainchild,2012,N/A,N/A,"Pre-Seed, Seed, Series A, Series B, Growth","NYC, SFBA, LA, US","$250-$500K, $500K-$1M, $1-$3M","Bio-Tech, Bitcoin / Blockchain, Developer Tools, E-Commerce, Enterprise / SaaS, Fin-Tech, Hardware / IoT, Health-Tech, HR, Infrastructure, Marketplaces, Pharma / Life Sciences, Real Estate","Docker, Gusto, Warbys, Harrys, Sweetgreen, Zynerba, Clover Health, Quartet Health, Oscar Health, Allbirds, Outdoor Voices, Makerbot, Simple, SmartThings, SeatGeek",,http://brainchildco.com/investments
,,,Sumeet Shah,Brand Foundry Ventures,2014,-,-,"Seed, Series A, Series B",US ,"$0-$250K, $250-$500K, $500K-$1M",Consumer,"Birchbox, Harry's, Warby Parker, Peloton, Chloe + Isabel, KiwiCrate, Zozi",Anything not consumer products and devices,
MP,,NYC,Andrew Mitchell,Brand Foundry Ventures,2014,-,-,"Seed, Series A, Series B",US ,"$0-$250K, $250-$500K, $500K-$1M",Consumer,"Birchbox, Harry's, Warby Parker, Peloton, Chloe + Isabel, KiwiCrate, Zozi",Anything not consumer products and devices,
MP,,NYC,Charlie O'Donnell,Brooklyn Bridge Ventures,2012,$15M,2016,"Pre-Seed, Seed, Series A",NYC,,All,,companies that have raised >$750K,
,,,Jeffrey Berman,Camber Creek,2014,N/A,2016,"Seed, Series A","NYC, SFBA, LA, US, Canada, Europe, Israel, Global","$250-$500K, $500K-$1M",Real Estate,"Latch, VTS, Building Engines, Turbo Appeal, RedIQ",Consumer facing; not correlated to CRE,
MP,,NYC,Brendan Dickinson,Canaan Partners,2016,$675M,2014,"Series A, Series B, Growth","US, Global","$1-$3M, $3-$10M, $10M+","All,Health-Tech",Embroker,,
MP,,NYC,Dan Ciporin,Canaan Partners,2007,$675M,2014,"Series A, Series B, Growth","US, Global","$1-$3M, $3-$10M, $10M+","All,Health-Tech","Lending Club, ShopKeep",,
MP,,NYC,Stephen Bloch,Canaan Partners,2002,$675M,2014,"Series A, Series B, Growth","US, Global","$1-$3M, $3-$10M, $10M+","All,Health-Tech",Advanced BioHealing,,
MP,,NYC,Tim Shannon,Canaan Partners,2009,$675M,2014,"Series A, Series B, Growth","US, Global","$1-$3M, $3-$10M, $10M+","All,Health-Tech","CytomX Therapeutics,Civitas Therapeutics,Novira Therapeutics",,
MP,,NYC,Warren Lee,Canaan Partners,2005,$675M,2014,"Series A, Series B, Growth","US, Global","$1-$3M, $3-$10M, $10M+","All, Health-Tech","Artspace, Associated Content",,
MP,,NYC,Brian Rich,Catalyst Investors,2000,$377M,2015,Growth,"US, Canada, Europe, Israel",$10M+,"Ad-Tech, AI / ML, Bots, Clean-Tech / Energy, Cloud, Data / Analytics, Developer Tools, E-Commerce, Ed-Tech, Enterprise / SaaS, Entertainment / Gaming / Sports, Fin-Tech, Health-Tech, HR, Infrastructure, Marketing, Marketplaces, Media / Publishing, Mobile, Robotics / Drones, Social / Messaging, VR / AR, Wearables, Healthcare Services, Food Tech","BrightFarms, Clinicient, Conductor, MediaMath, MINDBODY, PresenceLearning, WeddingWire",,
MP,,NYC,Ryan McNally,Catalyst Investors,1999,$377M,2015,Growth,"US, Canada, Europe, Israel",$10M+,"Ad-Tech, AI / ML, Bots, Clean-Tech / Energy, Cloud, Data / Analytics, Developer Tools, E-Commerce, Ed-Tech, Enterprise / SaaS, Entertainment / Gaming / Sports, Fin-Tech, Health-Tech, HR, Infrastructure, Marketing, Marketplaces, Media / Publishing, Mobile, Robotics / Drones, Social / Messaging, VR / AR, Wearables, Healthcare Services, Food Tech","PresenceLearning, Videology, Jobvite, WeddingWire, MediaMath, MINDBODY",,
MP,,NYC,Chris Shipman,Catalyst Investors,2000,$377M,2015,Growth,"US, Canada, Europe, Israel",$10M+,"Ad-Tech, AI / ML, Bots, Clean-Tech / Energy, Cloud, Data / Analytics, Developer Tools, E-Commerce, Ed-Tech, Enterprise / SaaS, Entertainment / Gaming / Sports, Fin-Tech, Health-Tech, HR, Infrastructure, Marketing, Marketplaces, Media / Publishing, Mobile, Robotics / Drones, Social / Messaging, VR / AR, Wearables, Healthcare Services, Food Tech","Xplornet, Ascentis, Codero, Decisyon, Insite",,
MP (from DK),Travis Skelly,NYC,Luis Valdich,Citi Ventures,2015,tbd,tbd,tbd,tbd,tbd,tbd,tbd,,
,,,Travis Skelly,Citi Ventures,2016,N/A,N/A,"Seed, Series A, Series B, Growth","NYC, LA, US, Canada, Europe, Israel","$1-$3M, $3-$10M","AI / ML, Bots, Consumer, Data / Analytics, E-Commerce, Enterprise / SaaS, Fin-Tech, Marketing, Marketplaces, Real Estate",,,
,,,Victoria Grace,Colle Capital Partners,2015,N/A,2015,"Seed, Series A",Global,"$0-$250K, $250-$500K, $500K-$1M, $1-$3M","Data / Analytics, Enterprise / SaaS, Fin-Tech, Health-Tech, Marketplaces, Mobile, Real Estate, Security, Transportation, Wearables",,,
JR,Teddy Himler,NYC,Andrew Cleland,Comcast Ventures,2013,$120M / year,Annual,"Series A, Series B, Growth","NYC, Canada","$1-$3M, $3-$10M",,"Away, Enigma, FanDuel, Heleo",,
JR,Teddy Himler,NYC,Sam Landman,Comcast Ventures,2009,$120M / year,Annual,"Series A, Series B, Growth","NYC, Canada","$1-$3M, $3-$10M","Ad-Tech, Cloud, Consumer, E-Commerce, Ed-Tech, Entertainment / Gaming / Sports, Marketing, Marketplaces, Media / Publishing, Social / Messaging","Cheddar, Zola, Fullscreen, KeyMe, Taboola, YouNow","biotech, cleantech, security, dev tools, infrastructure",http://www.comcastventures.com/focus
MP,,NYC,David Hirsch,Compound Ventures,2008,$50M,2016,"Pre-Seed,Seed",US, $500K-$1M,"AI / ML, Enterprise / SaaS,Fin-Tech,Health-Tech,Hardware / IoT,Marketplaces",,,
,,,Josh Nussbaum,Compound Ventures,2012,50M,June 2016,"Pre-Seed, Seed","US, Canada, Israel",$500K-$1M,"AI / ML, Bio-Tech, Bitcoin / Blockchain, Bots, Consumer, Data / Analytics, Enterprise / SaaS, Fin-Tech, Hardware / IoT, Health-Tech, Marketplaces, Robotics / Drones, Security, Transportation","CrowdAI, DeepGram, Clear Genetics, Payjoy, BetterView, Indio",,
MP,,NYC,Bob Greene,Contour Venture Partners,2001,$56M,2016,Seed,NYC,"$250-$500K, $500K-$1M, $1-$3M","Enterprise / SaaS, Fin-Tech, Media / Publishing","Bench, Contently, DataDog, Ellevest, Olapic, OnDeck, Pathgather, Ufora, yHat",,
